Holacanthus ciliaris
Holacanthus clarionensis
Holacanthus passer
Holacanthus tricolor
Hongeo koreana
Hoplichthys fasciatus
Hoplichthys gilberti
Hoplolatilus cuniculus
Hoplostethus japonicus
Hoplunnis punctata
Howella brodiei
Hydrolagus affinis
Hydrolagus lemures
Hydrolagus mirabilis
Hydrolagus mitsukurii
Hyperlophus vittatus
Hyperoglyphe japonica
Hypoatherina tsurugae
Hypoplectrus gemma
Hyporhamphus dussumieri
Hyporhamphus intermedius
Hyporhamphus limbatus
Hyporhamphus paucirastris
Hyporhamphus quoyi
Hyporhamphus sajori
Hyporthodus haifensis
Hyporthodus octofasciatus
Hypseleotris cyprinoides
Hypseleotris klunzingeri
Hypseleotris sp.
Icelus spatula
Ichthyscopus lebeck
Ichthyscopus pollicaris
Icichthys lockingtoni
Ijimaia dofleini
Ilisha africana
Ilisha elongata
Ilisha striatula
Ilyophis brunneus
Inegocia japonica
Inimicus japonicus
Ipnops sp.
Iriatherina werneri
Iso hawaiiensis
Istigobius campbelli
Istiompax indica
Istiophorus albicans
Istiophorus platypterus
Isurus oxyrinchus
Isurus paucus
Jaydia carinatus
Jaydia lineata
Jenkinsia lamprotaenia
Jenkinsia sp.
Johnius belangerii
Johnius borneensis
Johnius carouna
Johnius grypotus
Johnius sp.
Kajikia albida
Kajikia audax
Kali indica
Kali macrodon
Kali macrura
Kali normani
Kareius bicoloratus
Katsuwonus pelamis
Kaupichthys hyoproroides
Kentrocapros aculeatus
Konosirus punctatus
Krefftichthys anderssoni
Kuhlia mugil
Kurtus gulliveri
Kyphosus cinerascens
Labichthys carinatus
Labracinus cyclophthalmus
Labracoglossa argentiventris
Lactarius lactarius
Lactoria cornuta
Lactoria diaphana
Lactoria fornasini
Laeops kitaharae
Laeops lanceolata
Lagocephalus gloveri
Lagocephalus guentheri
Lagocephalus inermis
Lagocephalus laevigatus
Lagocephalus lagocephalus
Lagocephalus lunaris
Lagocephalus sceleratus
Lagocephalus spadiceus
Lagocephalus suezensis
Lagocephalus wheeleri
Lamiopsis temminckii
Lamiopsis tephrodes
Lamna ditropis
Lamna nasus
Lampadena atlantica
Lampadena yaquinae
Lampanyctus crocodilus
Lampanyctus macdonaldi
Lampris guttatus
Lamprogrammus niger
Larimichthys crocea
Larimichthys polyactis
Lates calcarifer
Lates japonicus
Lates niloticus
Leiodon cutcutia
Leiognathus brevirostris
Leiognathus ruconius
Leiopotherapon unicolor
Lentipes armatus
Lentipes bunagaya
Lentipes kijimuna
Lentipes palawanirufus
Lepidion lepidion
Lepidoblepharon ophthalmolepis
Lepidocybium flavobrunneum
Lepidotrigla abyssalis
Lepidotrigla alata
Lepidotrigla guentheri
Lepidotrigla hime
Lepidotrigla kanagashira
Lepidotrigla microptera
Leptocephalus sp.
Leptoderma lubricum
Leptoderma macrophthalmum
Leptoderma retropinna
Lepturacanthus savala
Lestidium atlanticum
Lesueurigobius friesii
Lethrinus laticaudis
Lethrinus obsoletus
Leucoraja circularis
Leucoraja erinacea
Leucoraja naevus
Liachirus melanospilos
Limanda aspera
Limanda limanda
Limnichthys fasciatus
Limnothrissa miodon
Linophryne bicornis
Liparis bathyarcticus
Liparis ochotensis
Liparis punctulatus
Liparis tanakae
Liparis tessellatus
Lipolagus ochotensis
Liza affinis
Liza carinata
Liza haematocheila
Liza macrolepis
Lobianchia gemellarii
Lobotes surinamensis
Lophiodes caulinaris
Lophiogobius ocellicauda
Lophiomus setigerus
Lophius americanus
Lophius litulon
Lophius piscatorius
Lophonectes gallus
Lophotus capellei
Lovettia sealii
Loxodon macrorhinus
Luciogobius elongatus
Luciogobius grandis
Luciogobius pallidus
Luciogobius platycephalus
Lutjanus argentimaculatus
Lutjanus bengalensis
Lutjanus carponotatus
Lutjanus erythropterus
Lutjanus fulgens
Lutjanus fulviflamma
Lutjanus guttatus
Lutjanus johnii
Lutjanus kasmira
Lutjanus malabaricus
Lutjanus ophuysenii
Lutjanus peru
Lutjanus rivulatus
Lutjanus russellii
Lutjanus sebae
Lutjanus stellatus
Lutjanus vitta
Lycenchelys kolthoffi
Lycenchelys muraena
Lycenchelys sarsii
Lycengraulis grossidens
Lycodes brevipes
Lycodes esmarkii
Lycodes polaris
Lycodes raridens
Lycodes reticulatus
Lycodes sp.
Lycodes tanakae
Lycodes toyamensis
Lycodes ygreknotatus
Lycothrissa crocodilus
Maccullochella ikei
Maccullochella macquariensis
Maccullochella mariensis
Maccullochella peeli
Maccullochella peelii
Macquaria ambigua
Macquaria australasica
Macquaria novemaculeata
Macropharyngodon negrosensis
Macropinna microstoma
Macroramphosus scolopax
Macrorhamphosodes uradoi
Macrourus whitsoni
Makaira indica
Makaira mazara
Makaira nigricans
Malacocottus gibber
Malacosteus niger
Malthopsis jordani
Marilyna darwinii
Masturus lanceolatus
Maulisia mauli
Maurolicus muelleri
Megachasma pelagios
Megalaspis cordyla
Megalocottus platycephalus
Megalops atlanticus
Megalops cyprinoides
Melanocetus johnsoni
Melanocetus johnsonii
Melanocetus murrayi
Melanostigma atlanticum
Melanotaenia australis
Melanotaenia boesemani
Melanotaenia lacustris
Melanotaenia parkinsoni
Melanotaenia praecox
Melanotaenia splendida
Melichthys vidua
Mene maculata
Menticirrhus littoralis
Merluccius productus
Merluccius senegalensis
Mesocottus haitej
Metavelifer multiradiatus
Meuschenia hippocrepis
Microcanthus strigatus
Microphis brachyurus
Microphis deocata
Micropogonias furnieri
Microstomus achne
Microthrissa congica
Microthrissa royauxi
Miichthys miiuy
Minimugil cascasia
Minous monodactylus
Mitsukurina owstoni
Mobula alfredi
Mobula eregoodootenkee
Mobula japanica
Mobula mobular
Mobula tarapacana
Mobula thurstoni
Mogurnda adspersa
Mola mola
Monacanthus chinensis
Monacoa grimaldii
Monacoa sp.
Monocentris japonicus
Monodactylus argenteus
Monopterus albus
Monotaxis grandoculis
Monotrete cochinchinensis
Monotrete leiurus
Moolgarda cunnesius
Moolgarda perusii
Moringua edwardsi
Moringua microchir
Mugil cephalus
Mugil curema
Mugilogobius abei
Mugilogobius chulae
Mugilogobius myxodermus
Mulloidichthys vanicolensis
Mullus surmuletus
Muraenesox bagio
Muraenesox cinereus
Mustelus griseus
Mustelus manazo
Mustelus mustelus
Myctophum affine
Myctophum asperum
Myctophum nitidulum
Myctophum orientale
Myctophum punctatum
Myersina filifer
Myoxocephalus jaok
Myoxocephalus quadricornis
Myoxocephalus scorpius
Myrichthys maculosus
Myripristis berndti
Myripristis vittata
Myxine fernholmi
Myxine glutinosa
Myxus capensis
Nannobrachium ritteri
Nannoperca australis
Nannoperca obscura
Nannoperca variegata
Nansenia ardesiaca
Nansenia boreacrassicauda
Narcetes erimelas
Narcetes shonanmaruae
Narcetes stomias
Narcine bancroftii
Narcine brasiliensis
Narcine entemedor
Narcine timlei
Naso hexacanthus
Naso lopezi
Nealotus tripes
Nebrius ferrugineus
Nectoliparis pelagicus
Negaprion brevirostris
Nelusetta ayraudi
Nematalosa come
Nematalosa erebi
Nematalosa japonica
Nematalosa nasus
Nemateleotris decora
Nemateleotris magnifica
Nemichthys scolopaceus
Nemipterus bathybius
Nemipterus furcosus
Nemipterus hexodon
Nemipterus japonicus
Nemipterus randalli
Nemipterus virgatus
Neoachiropsetta milfordi
Neobythites stigmosus
Neobythites unimaculatus
Neoceratias spinifer
Neocyema erythrosoma
Neocyttus rhomboidalis
Neoepinnula minetomai
Neoepinnula orientalis
Neogobius fluviatilis
Neogobius melanostomus
Neoniphon sammara
Neoraja iberica
Neoscopelus macrolepidotus
Neoscopelus microchir
Neosynchiropus moyeri
Neotrygon indica
Neotrygon kuhlii
Nesiarchus nasutus
Nessorhamphus ingolfianus
Nettastoma parviceps
Netuma thalassina
Nibea albiflora
Nibea coibor
Nibea miichthioides
Nibea mitsukurii
Normichthys operosus
Notacanthus bonaparte
Notacanthus chemnitzi
Notacanthus chemnitzii
Notolepis coatsi
Notolepis coatsorum
Notolychnus valdiviae
Notoraja tobitukai
Notorynchus cepedianus
Notoscopelus caudispinosus
Notoscopelus elongatus
